Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,665E+04",55.0,0.03,284.5,6.5094,0.023,1.4282,0.502,0.017124
2,357.9,"3,68E+04",55.0,0.0426,287.43,5.7672,0.020,1.4393,0.501,0.017257
3,462,"3,69E+04",55.0,0.0605,289.62,5.4695,0.019,1.449,0.5,0.017373
4,535.3,"3,697E+04",55.0,0.0859,291.73,4.8884,0.017,1.459,0.5,0.017493
5,586.9,"3,703E+04",55.0,0.122,293.33,4.4045,0.015,1.4669,0.5,0.017587
6,623.2,"3,706E+04",55.0,0.173,294.61,3.9336,0.013,1.4732,0.5,0.017663
7,648.8,"3,709E+04",55.0,0.246,295.63,3.593,0.012,1.4783,0.5,0.017724
8,666.9,"3,711E+04",55.0,0.349,296.45,3.2277,0.011,1.4823,0.5,0.017773
9,679.5,"3,712E+04",55.0,0.496,297.22,2.9588,0.010,1.4862,0.5,0.017819
10,688.5,"3,713E+04",55.0,0.704,298.07,2.9518,0.010,1.4904,0.5,0.017869
11,694.8,"3,713E+04",55.0,1,299.12,2.9012,0.010,1.4956,0.5,0.017932
