Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,293E+04",50.0,0.03,96.962,2.3009,0.024,0.48678,0.502,0.0058362
2,357.9,"3,308E+04",50.0,0.0426,98.165,1.9958,0.020,0.49158,0.501,0.0058938
3,462,"3,319E+04",50.0,0.0605,99.655,1.8652,0.019,0.49858,0.5,0.0059778
4,535.3,"3,326E+04",50.0,0.0859,100.92,1.6586,0.016,0.50472,0.5,0.0060513
5,586.9,"3,331E+04",50.0,0.122,101.97,1.5071,0.015,0.50992,0.5,0.0061137
6,623.2,"3,335E+04",50.0,0.173,102.98,1.4357,0.014,0.51496,0.5,0.0061741
7,648.8,"3,337E+04",50.0,0.246,103.64,1.4395,0.014,0.51826,0.5,0.0062136
8,666.9,"3,339E+04",50.0,0.349,104.21,1.4213,0.014,0.5211,0.5,0.0062477
9,679.5,"3,34E+04",50.0,0.496,104.69,1.4419,0.014,0.52348,0.5,0.0062763
10,688.5,"3,341E+04",50.0,0.704,105.46,1.639,0.016,0.52738,0.5,0.006323
11,694.8,"3,342E+04",50.0,1,106.21,1.7156,0.016,0.53113,0.5,0.0063679
