Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,922E+04",45.0,0.03,22.184,0.59053,0.027,0.11138,0.502,0.0013354
2,357.9,"2,937E+04",45.0,0.0426,22.77,0.63609,0.028,0.11404,0.501,0.0013673
3,462,"2,947E+04",45.0,0.0605,23.232,0.67277,0.029,0.11626,0.5,0.0013939
4,535.3,"2,955E+04",45.0,0.0859,23.6,0.70656,0.030,0.11807,0.5,0.0014156
5,586.9,"2,96E+04",45.0,0.122,23.58,0.64864,0.028,0.11795,0.5,0.0014142
6,623.2,"2,963E+04",45.0,0.173,23.839,0.72302,0.030,0.11925,0.5,0.0014298
7,648.8,"2,966E+04",45.0,0.246,23.996,0.76373,0.032,0.12004,0.5,0.0014392
8,666.9,"2,968E+04",45.0,0.349,24.147,0.815,0.034,0.1208,0.5,0.0014484
9,679.5,"2,969E+04",45.0,0.496,24.317,0.92714,0.038,0.12167,0.5,0.0014588
10,688.5,"2,97E+04",45.0,0.704,24.407,0.91176,0.037,0.12212,0.5,0.0014642
11,694.8,"2,971E+04",45.0,1,24.95,1.0644,0.043,0.12486,0.5,0.001497
