Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,6937,15.0,0.03,1.1891,0.21978,0.185,0.0060692,0.502,7.2767e-05
2,357.9,7085,15.0,0.0426,1.1723,0.32338,0.276,0.0060885,0.501,7.2998e-05
3,462,7189,15.0,0.0605,1.1608,0.42521,0.366,0.0061838,0.5,7.414e-05
4,535.3,7263,15.0,0.0859,1.1393,0.53976,0.474,0.0063044,0.5,7.5587e-05
5,586.9,7314,15.0,0.122,1.1223,0.7082,0.631,0.0066358,0.5,7.956e-05
6,623.2,7351,15.0,0.173,1.1066,0.87261,0.789,0.0070465,0.5,8.4484e-05
7,648.8,7376,15.0,0.246,1.1157,1.0805,0.968,0.0077661,0.5,9.3112e-05
8,666.9,7394,15.0,0.349,1.1817,1.3622,1.153,0.0090165,0.5,0.0001081
9,679.5,7407,15.0,0.496,1.3277,1.7103,1.288,0.010826,0.5,0.0001298
10,688.5,7416,15.0,0.704,1.2791,1.7645,1.379,0.010897,0.5,0.00013064
11,694.8,7422,15.0,1,1.9191,2.2998,1.198,0.014977,0.5,0.00017956
