Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,437E+04",25.0,0.03,1.1963,0.18565,0.155,0.0060762,0.502,7.2851e-05
2,357.9,"1,451E+04",25.0,0.0426,1.2102,0.25346,0.209,0.0061906,0.501,7.4222e-05
3,462,"1,462E+04",25.0,0.0605,1.1858,0.3378,0.285,0.0061677,0.5,7.3948e-05
4,535.3,"1,469E+04",25.0,0.0859,1.141,0.42605,0.373,0.0060905,0.5,7.3022e-05
5,586.9,"1,474E+04",25.0,0.122,1.122,0.53328,0.475,0.0062118,0.5,7.4476e-05
6,623.2,"1,478E+04",25.0,0.173,1.0794,0.65033,0.602,0.006301,0.5,7.5546e-05
7,648.8,"1,48E+04",25.0,0.246,1.0451,0.77355,0.740,0.0065012,0.5,7.7947e-05
8,666.9,"1,482E+04",25.0,0.349,1.043,0.96698,0.927,0.0071116,0.5,8.5265e-05
9,679.5,"1,484E+04",25.0,0.496,1.0871,1.1689,1.075,0.0079815,0.5,9.5695e-05
10,688.5,"1,484E+04",25.0,0.704,0.94291,1.1393,1.208,0.0073943,0.5,8.8654e-05
11,694.8,"1,485E+04",25.0,1,1.4809,1.5203,1.027,0.010612,0.5,0.00012723
