Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,551E+04",40.0,0.03,4.3024,0.32035,0.074,0.021653,0.502,0.00025961
2,357.9,"2,566E+04",40.0,0.0426,4.2213,0.34031,0.081,0.021203,0.501,0.00025422
3,462,"2,576E+04",40.0,0.0605,4.381,0.45285,0.103,0.022032,0.5,0.00026415
4,535.3,"2,583E+04",40.0,0.0859,4.4498,0.53656,0.121,0.022413,0.5,0.00026873
5,586.9,"2,588E+04",40.0,0.122,4.4362,0.5873,0.132,0.022376,0.5,0.00026827
6,623.2,"2,592E+04",40.0,0.173,4.5047,0.72389,0.161,0.022813,0.5,0.00027352
7,648.8,"2,595E+04",40.0,0.246,4.5575,0.81625,0.179,0.02315,0.5,0.00027756
8,666.9,"2,596E+04",40.0,0.349,4.6252,0.94894,0.205,0.023608,0.5,0.00028305
9,679.5,"2,598E+04",40.0,0.496,4.7217,1.112,0.236,0.024254,0.5,0.0002908
10,688.5,"2,599E+04",40.0,0.704,4.6115,0.99575,0.216,0.023589,0.5,0.00028282
11,694.8,"2,599E+04",40.0,1,5.1268,1.2764,0.249,0.026416,0.5,0.00031672
