Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,151E+04",75.0,0.03,1370.4,35.611,0.026,6.8797,0.502,0.082484
2,357.9,"5,165E+04",75.0,0.0426,1375.3,32.028,0.023,6.8874,0.501,0.082577
3,462,"5,176E+04",75.0,0.0605,1381.8,30.35,0.022,6.9137,0.5,0.082892
4,535.3,"5,183E+04",75.0,0.0859,1388,28.601,0.021,6.9423,0.5,0.083236
5,586.9,"5,188E+04",75.0,0.122,1394.1,27.865,0.020,6.9724,0.5,0.083595
6,623.2,"5,192E+04",75.0,0.173,1399.6,27.882,0.020,6.9997,0.5,0.083923
7,648.8,"5,194E+04",75.0,0.246,1405.9,28.872,0.021,7.0308,0.5,0.084296
8,666.9,"5,196E+04",75.0,0.349,1412.8,29.793,0.021,7.0657,0.5,0.084715
9,679.5,"5,197E+04",75.0,0.496,1419.8,31.034,0.022,7.1006,0.5,0.085133
10,688.5,"5,198E+04",75.0,0.704,1426.9,32.757,0.023,7.1362,0.5,0.085559
11,694.8,"5,199E+04",75.0,1,1435.3,33.307,0.023,7.1783,0.5,0.086065
