Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,522E+04",80.0,0.03,1682.2,47.4,0.028,8.4453,0.502,0.10126
2,357.9,"5,537E+04",80.0,0.0426,1688.3,42.768,0.025,8.4554,0.501,0.10138
3,462,"5,547E+04",80.0,0.0605,1694.6,40.528,0.024,8.4789,0.5,0.10166
4,535.3,"5,554E+04",80.0,0.0859,1703,38.798,0.023,8.5185,0.5,0.10213
5,586.9,"5,56E+04",80.0,0.122,1710.6,36.733,0.021,8.5553,0.5,0.10257
6,623.2,"5,563E+04",80.0,0.173,1720.3,36.35,0.021,8.6034,0.5,0.10315
7,648.8,"5,566E+04",80.0,0.246,1729.6,38.006,0.022,8.6502,0.5,0.10371
8,666.9,"5,568E+04",80.0,0.349,1738.6,39.773,0.023,8.6952,0.5,0.10425
9,679.5,"5,569E+04",80.0,0.496,1750,41.114,0.023,8.7525,0.5,0.10494
10,688.5,"5,57E+04",80.0,0.704,1762.4,45.297,0.026,8.8149,0.5,0.10569
11,694.8,"5,57E+04",80.0,1,1773.7,47.117,0.027,8.8718,0.5,0.10637
