Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,179E+04",35.0,0.03,1.3077,0.24868,0.190,0.0066806,0.502,8.0098e-05
2,357.9,"2,194E+04",35.0,0.0426,1.3378,0.31061,0.232,0.0068762,0.501,8.2442e-05
3,462,"2,205E+04",35.0,0.0605,1.3409,0.38002,0.283,0.0069714,0.5,8.3584e-05
4,535.3,"2,212E+04",35.0,0.0859,1.3357,0.46323,0.347,0.0070699,0.5,8.4765e-05
5,586.9,"2,217E+04",35.0,0.122,1.3075,0.54459,0.417,0.0070821,0.5,8.4911e-05
6,623.2,"2,221E+04",35.0,0.173,1.307,0.63318,0.484,0.0072618,0.5,8.7065e-05
7,648.8,"2,223E+04",35.0,0.246,1.2885,0.72895,0.566,0.0074021,0.5,8.8748e-05
8,666.9,"2,225E+04",35.0,0.349,1.3127,0.86515,0.659,0.0078609,0.5,9.4249e-05
9,679.5,"2,226E+04",35.0,0.496,1.3566,1.0295,0.759,0.0085151,0.5,0.00010209
10,688.5,"2,227E+04",35.0,0.704,1.2476,0.97921,0.785,0.0079297,0.5,9.5074e-05
11,694.8,"2,228E+04",35.0,1,1.7212,1.2305,0.715,0.010579,0.5,0.00012684
