Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,3223,10.0,0.03,1.1886,0.26891,0.226,0.0061164,0.502,7.3333e-05
2,357.9,3370,10.0,0.0426,1.1884,0.37457,0.315,0.0062383,0.501,7.4794e-05
3,462,3475,10.0,0.0605,1.1824,0.51102,0.432,0.0064432,0.5,7.7251e-05
4,535.3,3548,10.0,0.0859,1.1674,0.65512,0.561,0.0066943,0.5,8.0262e-05
5,586.9,3600,10.0,0.122,1.1558,0.84374,0.730,0.0071552,0.5,8.5787e-05
6,623.2,3636,10.0,0.173,1.1708,1.0662,0.911,0.0079178,0.5,9.4931e-05
7,648.8,3661,10.0,0.246,1.2175,1.3282,1.091,0.009009,0.5,0.00010801
8,666.9,3679,10.0,0.349,1.3092,1.6785,1.282,0.010644,0.5,0.00012761
9,679.5,3692,10.0,0.496,1.4974,2.0924,1.397,0.012865,0.5,0.00015425
10,688.5,3701,10.0,0.704,1.4917,2.2014,1.476,0.013296,0.5,0.00015941
11,694.8,3707,10.0,1,2.2213,2.8344,1.276,0.018005,0.5,0.00021588
