Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,036E+04",60.0,0.03,520.15,10.812,0.021,2.6111,0.502,0.031305
2,357.9,"4,051E+04",60.0,0.0426,523.5,9.6371,0.018,2.6214,0.501,0.031429
3,462,"4,061E+04",60.0,0.0605,527.65,9.276,0.018,2.6398,0.5,0.03165
4,535.3,"4,069E+04",60.0,0.0859,531.72,9.0267,0.017,2.6594,0.5,0.031885
5,586.9,"4,074E+04",60.0,0.122,534.08,9.1443,0.017,2.6709,0.5,0.032023
6,623.2,"4,078E+04",60.0,0.173,537.3,8.4912,0.016,2.6869,0.5,0.032214
7,648.8,"4,08E+04",60.0,0.246,538.94,8.0759,0.015,2.695,0.5,0.032312
8,666.9,"4,082E+04",60.0,0.349,542.27,8.2245,0.015,2.7117,0.5,0.032512
9,679.5,"4,083E+04",60.0,0.496,544.84,7.4726,0.014,2.7244,0.5,0.032665
10,688.5,"4,084E+04",60.0,0.704,547.14,7.634,0.014,2.736,0.5,0.032803
11,694.8,"4,085E+04",60.0,1,549.3,7.0121,0.013,2.7467,0.5,0.032932
