Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,065E+04",20.0,0.03,1.1728,0.19473,0.166,0.0059668,0.502,7.1539e-05
2,357.9,"1,08E+04",20.0,0.0426,1.1721,0.27164,0.232,0.0060239,0.501,7.2224e-05
3,462,"1,09E+04",20.0,0.0605,1.1444,0.36615,0.320,0.0060105,0.5,7.2063e-05
4,535.3,"1,098E+04",20.0,0.0859,1.1266,0.46591,0.414,0.0060963,0.5,7.3092e-05
5,586.9,"1,103E+04",20.0,0.122,1.0889,0.58266,0.535,0.0061753,0.5,7.404e-05
6,623.2,"1,107E+04",20.0,0.173,1.0621,0.71517,0.673,0.0064022,0.5,7.6759e-05
7,648.8,"1,109E+04",20.0,0.246,1.0601,0.89343,0.843,0.006932,0.5,8.3111e-05
8,666.9,"1,111E+04",20.0,0.349,1.077,1.1348,1.054,0.0078226,0.5,9.3789e-05
9,679.5,"1,112E+04",20.0,0.496,1.1694,1.4001,1.197,0.0091211,0.5,0.00010936
10,688.5,"1,113E+04",20.0,0.704,1.1126,1.4311,1.286,0.0090634,0.5,0.00010867
11,694.8,"1,114E+04",20.0,1,1.6844,1.9012,1.129,0.0127,0.5,0.00015227
