Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,408E+04",65.0,0.03,804.05,16.554,0.021,4.0361,0.502,0.048391
2,357.9,"4,422E+04",65.0,0.0426,806.8,14.829,0.018,4.04,0.501,0.048437
3,462,"4,433E+04",65.0,0.0605,811.83,13.736,0.017,4.0615,0.5,0.048695
4,535.3,"4,44E+04",65.0,0.0859,814.44,13.862,0.017,4.0734,0.5,0.048838
5,586.9,"4,445E+04",65.0,0.122,817.04,13.052,0.016,4.0859,0.5,0.048988
6,623.2,"4,449E+04",65.0,0.173,820.61,12.877,0.016,4.1036,0.5,0.0492
7,648.8,"4,452E+04",65.0,0.246,824.86,12.908,0.016,4.1248,0.5,0.049455
8,666.9,"4,453E+04",65.0,0.349,828.85,13.118,0.016,4.1448,0.5,0.049694
9,679.5,"4,455E+04",65.0,0.496,832.9,12.933,0.016,4.165,0.5,0.049936
10,688.5,"4,455E+04",65.0,0.704,839.63,14.792,0.018,4.1988,0.5,0.050341
11,694.8,"4,456E+04",65.0,1,843.72,14.173,0.017,4.2192,0.5,0.050586
