Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,779E+04",70.0,0.03,1079.3,24.788,0.023,5.4179,0.502,0.064958
2,357.9,"4,794E+04",70.0,0.0426,1083.2,21.992,0.020,5.4244,0.501,0.065036
3,462,"4,804E+04",70.0,0.0605,1086.8,20.664,0.019,5.4376,0.5,0.065194
4,535.3,"4,812E+04",70.0,0.0859,1092.7,19.643,0.018,5.4652,0.5,0.065526
5,586.9,"4,817E+04",70.0,0.122,1097,18.878,0.017,5.4859,0.5,0.065774
6,623.2,"4,82E+04",70.0,0.173,1103.6,20.302,0.018,5.5192,0.5,0.066172
7,648.8,"4,823E+04",70.0,0.246,1108,19.931,0.018,5.5408,0.5,0.066432
8,666.9,"4,825E+04",70.0,0.349,1113.1,20.389,0.018,5.5666,0.5,0.066741
9,679.5,"4,826E+04",70.0,0.496,1118.6,20.677,0.018,5.5938,0.5,0.067067
10,688.5,"4,827E+04",70.0,0.704,1125.2,22.502,0.020,5.6271,0.5,0.067466
11,694.8,"4,828E+04",70.0,1,1131.2,22.641,0.020,5.6574,0.5,0.067829
