Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,808E+04",30.0,0.03,1.2306,0.19155,0.156,0.0062506,0.502,7.4942e-05
2,357.9,"1,823E+04",30.0,0.0426,1.2258,0.2529,0.206,0.0062663,0.501,7.5131e-05
3,462,"1,833E+04",30.0,0.0605,1.2505,0.34075,0.272,0.0064834,0.5,7.7733e-05
4,535.3,"1,84E+04",30.0,0.0859,1.2203,0.40111,0.329,0.0064238,0.5,7.7018e-05
5,586.9,"1,846E+04",30.0,0.122,1.1493,0.48979,0.426,0.0062467,0.5,7.4895e-05
6,623.2,"1,849E+04",30.0,0.173,1.1115,0.56949,0.512,0.0062447,0.5,7.4871e-05
7,648.8,"1,852E+04",30.0,0.246,1.0963,0.69104,0.630,0.0064798,0.5,7.7689e-05
8,666.9,"1,854E+04",30.0,0.349,1.0497,0.83022,0.791,0.0066918,0.5,8.0231e-05
9,679.5,"1,855E+04",30.0,0.496,1.0823,1.0059,0.929,0.0073879,0.5,8.8578e-05
10,688.5,"1,856E+04",30.0,0.704,0.88891,0.91436,1.029,0.0063761,0.5,7.6447e-05
11,694.8,"1,856E+04",30.0,1,1.4074,1.2919,0.918,0.0095522,0.5,0.00011453
