Temperature,V,Concentration,Process
15.0,21.93992820100466,1.75,heating
20.0,19.06552306280907,1.75,heating
25.0,16.934933326282604,1.75,heating
30.0,16.11678172388512,1.75,heating
35.0,17.93544659965174,1.75,heating
45.0,184.47086910377425,1.75,heating
50.0,553.8073449848534,1.75,heating
55.0,1059.5664779404876,1.75,heating
60.0,1735.0283659834727,1.75,heating
65.0,2612.0918245250587,1.75,heating
70.0,3534.962920804417,1.75,heating
75.0,4550.490627562699,1.75,heating
80.0,5763.173664173056,1.75,heating
