Temperature,V,Concentration,Process
15.0,24.27175858306227,1.75,cooling
20.0,27.217732715991684,1.75,cooling
25.0,29.580819760143637,1.75,cooling
30.0,164.50204331366618,1.75,cooling
35.0,453.8238601262039,1.75,cooling
40.0,925.7135303297343,1.75,cooling
45.0,1494.5374983688582,1.75,cooling
50.0,2123.6426946234687,1.75,cooling
55.0,2801.978116190452,1.75,cooling
60.0,3495.6957595600234,1.75,cooling
65.0,4168.089073819778,1.75,cooling
70.0,4758.618246708392,1.75,cooling
75.0,5280.297174991472,1.75,cooling
