Temperature_H,Alpha_H,Tan_delta_H,V_H,Temperature_C,Alpha_C,Tan_delta_C,V_C
15.0,0.6005651296540978,1.3789544577156663,21.939928237725926,15.0,0.5426109252850854,1.1436990468535964,24.27175858306227
20.0,0.6372728254022954,1.5609272915768828,19.06556733978818,20.0,0.4306143193048552,0.8027366269337102,27.217732715991684
25.0,0.6199292568523145,1.4711036486982207,16.935009037896926,25.0,0.31724693754528005,0.5441364789825136,29.580819760143637
30.0,0.5463775354540538,1.1574479851560504,16.116781802009545,30.0,0.03327454079258907,0.052315174974658776,164.50204331366618
35.0,0.4516628348489149,0.8586080855666856,17.935446065243067,35.0,0.012200266846929837,0.01916648079295022,453.8238601262039
45.0,0.01722332554633887,0.02706093912755158,184.47086903847898,40.0,0.01045528542250254,0.016424600639431578,925.7135303297343
50.0,0.00892475343052496,0.014019888368230083,553.8073020082411,45.0,0.011343002844406555,0.017819432924750092,1494.5374983688582
55.0,0.0069457604588353,0.010910807946312114,1059.5660891657574,50.0,0.010447233319593092,0.01641194901630898,2123.6426946234687
60.0,0.007897358920615076,0.012405778755409195,1735.0261413271512,55.0,0.009261351077860483,0.01454872261064014,2801.978116190452
65.0,0.008266257886839276,0.012985337309287089,2612.096626232484,60.0,0.00840073045723213,0.013196602528754965,3495.6957595600234
70.0,0.008700119613390267,0.01366696676863384,3534.962990898895,65.0,0.008240132311558046,0.012944292453670578,4168.089073819778
75.0,0.01025112010810904,0.016103813677227623,4550.490630923642,70.0,0.008215274542279844,0.012905239438291107,4758.618246708392
80.0,0.011814528363195133,0.018560348578731557,5763.165931768415,75.0,0.008924974498199992,0.014020235688778651,5280.297174991472
