Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,979E+04",20.0,0.03,5.3243,1.8921,0.355,0.028359,0.502,0.00034002
2,357.9,"9,994E+04",20.0,0.0426,5.6482,2.3252,0.412,0.030581,0.501,0.00036665
3,462,1E+05,20.0,0.0605,6.048,2.8015,0.463,0.033341,0.5,0.00039975
4,535.3,"1,001E+05",20.0,0.0859,6.4617,3.3535,0.519,0.036406,0.5,0.00043649
5,586.9,"1,002E+05",20.0,0.122,6.9523,3.9808,0.573,0.040058,0.5,0.00048028
6,623.2,"1,002E+05",20.0,0.173,7.5704,4.7157,0.623,0.044596,0.5,0.00053468
7,648.8,"1,002E+05",20.0,0.246,8.3026,5.5378,0.667,0.0499,0.5,0.00059828
8,666.9,"1,002E+05",20.0,0.349,9.2427,6.4832,0.701,0.056449,0.5,0.0006768
9,679.5,"1,003E+05",20.0,0.496,10.37,7.5812,0.731,0.064227,0.5,0.00077005
10,688.5,"1,003E+05",20.0,0.704,10.957,8.1194,0.741,0.068186,0.5,0.00081752
11,694.8,"1,003E+05",20.0,1,12.939,9.5439,0.738,0.080391,0.5,0.00096385
