Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,379E+04",55.0,0.03,2026.6,39.299,0.019,10.172,0.502,0.12196
2,357.9,"7,394E+04",55.0,0.0426,2022.4,35.017,0.017,10.127,0.501,0.12141
3,462,"7,404E+04",55.0,0.0605,2022.3,32.643,0.016,10.117,0.5,0.1213
4,535.3,"7,411E+04",55.0,0.0859,2025,30.418,0.015,10.127,0.5,0.12142
5,586.9,"7,416E+04",55.0,0.122,2028.2,29.506,0.015,10.142,0.5,0.1216
6,623.2,"7,42E+04",55.0,0.173,2032,28.65,0.014,10.161,0.5,0.12183
7,648.8,"7,423E+04",55.0,0.246,2037.1,28.925,0.014,10.187,0.5,0.12213
8,666.9,"7,424E+04",55.0,0.349,2042.6,28.732,0.014,10.214,0.5,0.12246
9,679.5,"7,426E+04",55.0,0.496,2048.6,28.974,0.014,10.244,0.5,0.12282
10,688.5,"7,427E+04",55.0,0.704,2053.9,30.382,0.015,10.271,0.5,0.12314
11,694.8,"7,427E+04",55.0,1,2060.9,30.399,0.015,10.306,0.5,0.12356
