Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,75E+04",50.0,0.03,1563,32.628,0.021,7.8457,0.502,0.094066
2,357.9,"7,765E+04",50.0,0.0426,1559.3,28.115,0.018,7.8081,0.501,0.093616
3,462,"7,775E+04",50.0,0.0605,1558.9,26.381,0.017,7.799,0.5,0.093507
4,535.3,"7,783E+04",50.0,0.0859,1562.5,25.979,0.017,7.8146,0.5,0.093693
5,586.9,"7,788E+04",50.0,0.122,1565,25.167,0.016,7.8263,0.5,0.093834
6,623.2,"7,792E+04",50.0,0.173,1568.5,25.164,0.016,7.8437,0.5,0.094042
7,648.8,"7,794E+04",50.0,0.246,1572.8,25.211,0.016,7.8652,0.5,0.0943
8,666.9,"7,796E+04",50.0,0.349,1577.6,25.128,0.016,7.8889,0.5,0.094584
9,679.5,"7,797E+04",50.0,0.496,1582.9,24.934,0.016,7.9156,0.5,0.094904
10,688.5,"7,798E+04",50.0,0.704,1586.9,25.434,0.016,7.9354,0.5,0.095142
11,694.8,"7,799E+04",50.0,1,1592.6,24.852,0.016,7.964,0.5,0.095485
