Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,007E+04",60.0,0.03,2488.3,47.934,0.019,12.489,0.502,0.14973
2,357.9,"7,022E+04",60.0,0.0426,2484.6,42.25,0.017,12.441,0.501,0.14916
3,462,"7,032E+04",60.0,0.0605,2485.7,38.917,0.016,12.435,0.5,0.14909
4,535.3,"7,04E+04",60.0,0.0859,2489.3,36.292,0.015,12.45,0.5,0.14926
5,586.9,"7,045E+04",60.0,0.122,2493.8,34.424,0.014,12.471,0.5,0.14952
6,623.2,"7,049E+04",60.0,0.173,2499.1,33.312,0.013,12.497,0.5,0.14983
7,648.8,"7,051E+04",60.0,0.246,2504.4,32.908,0.013,12.523,0.5,0.15015
8,666.9,"7,053E+04",60.0,0.349,2510.8,32.913,0.013,12.555,0.5,0.15053
9,679.5,"7,054E+04",60.0,0.496,2518.1,33.569,0.013,12.592,0.5,0.15097
10,688.5,"7,055E+04",60.0,0.704,2523.8,34.645,0.014,12.62,0.5,0.15131
11,694.8,"7,056E+04",60.0,1,2531.3,34.975,0.014,12.657,0.5,0.15176
