Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,636E+04",65.0,0.03,2921,55.766,0.019,14.66,0.502,0.17577
2,357.9,"6,651E+04",65.0,0.0426,2919.9,49.866,0.017,14.62,0.501,0.17529
3,462,"6,661E+04",65.0,0.0605,2923,46.008,0.016,14.623,0.5,0.17532
4,535.3,"6,668E+04",65.0,0.0859,2926.8,41.86,0.014,14.637,0.5,0.17549
5,586.9,"6,674E+04",65.0,0.122,2932.5,40.591,0.014,14.665,0.5,0.17582
6,623.2,"6,677E+04",65.0,0.173,2938.5,38.327,0.013,14.694,0.5,0.17617
7,648.8,"6,68E+04",65.0,0.246,2946,37.637,0.013,14.731,0.5,0.17662
8,666.9,"6,682E+04",65.0,0.349,2951.6,36.411,0.012,14.759,0.5,0.17695
9,679.5,"6,683E+04",65.0,0.496,2958.8,36.34,0.012,14.795,0.5,0.17739
10,688.5,"6,684E+04",65.0,0.704,2968.1,39.013,0.013,14.842,0.5,0.17795
11,694.8,"6,684E+04",65.0,1,2977.1,39.2,0.013,14.887,0.5,0.17849
