Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,493E+04",40.0,0.03,715.32,18.621,0.026,3.5912,0.502,0.043056
2,357.9,"8,508E+04",40.0,0.0426,714.75,16.997,0.024,3.5795,0.501,0.042916
3,462,"8,518E+04",40.0,0.0605,714.55,15.724,0.022,3.5752,0.5,0.042865
4,535.3,"8,526E+04",40.0,0.0859,715.77,14.594,0.020,3.5801,0.5,0.042924
5,586.9,"8,531E+04",40.0,0.122,717.48,13.494,0.019,3.5882,0.5,0.043021
6,623.2,"8,534E+04",40.0,0.173,719.7,12.696,0.018,3.5991,0.5,0.043152
7,648.8,"8,537E+04",40.0,0.246,721.82,11.659,0.016,3.6096,0.5,0.043277
8,666.9,"8,539E+04",40.0,0.349,723.95,10.959,0.015,3.6202,0.5,0.043405
9,679.5,"8,54E+04",40.0,0.496,725.88,10.108,0.014,3.6298,0.5,0.043519
10,688.5,"8,541E+04",40.0,0.704,728.42,10.637,0.015,3.6425,0.5,0.043672
11,694.8,"8,541E+04",40.0,1,730.7,10.201,0.014,3.6538,0.5,0.043808
