Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,264E+04",70.0,0.03,3296.7,64.179,0.019,16.545,0.502,0.19837
2,357.9,"6,279E+04",70.0,0.0426,3297.6,57.146,0.017,16.511,0.501,0.19796
3,462,"6,29E+04",70.0,0.0605,3302.8,53.203,0.016,16.523,0.5,0.1981
4,535.3,"6,297E+04",70.0,0.0859,3309.2,48.903,0.015,16.55,0.5,0.19843
5,586.9,"6,302E+04",70.0,0.122,3318.3,46.945,0.014,16.594,0.5,0.19895
6,623.2,"6,306E+04",70.0,0.173,3324.9,44.128,0.013,16.626,0.5,0.19934
7,648.8,"6,308E+04",70.0,0.246,3332.8,42.336,0.013,16.666,0.5,0.19981
8,666.9,"6,31E+04",70.0,0.349,3342.4,41.378,0.012,16.713,0.5,0.20039
9,679.5,"6,311E+04",70.0,0.496,3350.1,40.985,0.012,16.752,0.5,0.20085
10,688.5,"6,312E+04",70.0,0.704,3360.1,43.75,0.013,16.802,0.5,0.20145
11,694.8,"6,313E+04",70.0,1,3369.8,43.604,0.013,16.85,0.5,0.20203
