Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,122E+04",45.0,0.03,1119.8,24.632,0.022,5.621,0.502,0.067393
2,357.9,"8,136E+04",45.0,0.0426,1116.2,22.117,0.020,5.5892,0.501,0.067012
3,462,"8,147E+04",45.0,0.0605,1116.4,21.264,0.019,5.5855,0.5,0.066967
4,535.3,"8,154E+04",45.0,0.0859,1118.6,20.723,0.019,5.5946,0.5,0.067076
5,586.9,"8,159E+04",45.0,0.122,1121.3,20.289,0.018,5.6077,0.5,0.067234
6,623.2,"8,163E+04",45.0,0.173,1124.8,19.67,0.017,5.6251,0.5,0.067443
7,648.8,"8,165E+04",45.0,0.246,1128.7,19.159,0.017,5.6444,0.5,0.067673
8,666.9,"8,167E+04",45.0,0.349,1132.7,18.458,0.016,5.6644,0.5,0.067913
9,679.5,"8,169E+04",45.0,0.496,1136.7,17.688,0.016,5.6843,0.5,0.068152
10,688.5,"8,169E+04",45.0,0.704,1140.6,18.352,0.016,5.7036,0.5,0.068383
11,694.8,"8,17E+04",45.0,1,1144.7,17.527,0.015,5.7239,0.5,0.068627
