Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,893E+04",75.0,0.03,3620.7,75.321,0.021,18.172,0.502,0.21787
2,357.9,"5,908E+04",75.0,0.0426,3623.8,67.558,0.019,18.145,0.501,0.21755
3,462,"5,918E+04",75.0,0.0605,3632.2,62.681,0.017,18.171,0.5,0.21787
4,535.3,"5,926E+04",75.0,0.0859,3642.6,57.462,0.016,18.218,0.5,0.21842
5,586.9,"5,931E+04",75.0,0.122,3651.8,53.683,0.015,18.262,0.5,0.21895
6,623.2,"5,934E+04",75.0,0.173,3663.2,51.523,0.014,18.318,0.5,0.21962
7,648.8,"5,937E+04",75.0,0.246,3673,49.168,0.013,18.367,0.5,0.22021
8,666.9,"5,939E+04",75.0,0.349,3685,47.836,0.013,18.426,0.5,0.22092
9,679.5,"5,94E+04",75.0,0.496,3696.9,48.456,0.013,18.486,0.5,0.22164
10,688.5,"5,941E+04",75.0,0.704,3710.5,51.579,0.014,18.554,0.5,0.22246
11,694.8,"5,942E+04",75.0,1,3721.8,51.863,0.014,18.611,0.5,0.22313
