Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,864E+04",35.0,0.03,374.91,8.9358,0.024,1.8821,0.502,0.022566
2,357.9,"8,879E+04",35.0,0.0426,372.92,7.5549,0.020,1.8674,0.501,0.02239
3,462,"8,89E+04",35.0,0.0605,372.29,6.915,0.019,1.8626,0.5,0.022332
4,535.3,"8,897E+04",35.0,0.0859,372.21,6.5881,0.018,1.8616,0.5,0.02232
5,586.9,"8,902E+04",35.0,0.122,372.68,6.1377,0.016,1.8637,0.5,0.022345
6,623.2,"8,906E+04",35.0,0.173,373.34,5.981,0.016,1.867,0.5,0.022384
7,648.8,"8,908E+04",35.0,0.246,374.11,5.8633,0.016,1.8708,0.5,0.02243
8,666.9,"8,91E+04",35.0,0.349,375.08,5.9236,0.016,1.8757,0.5,0.022488
9,679.5,"8,911E+04",35.0,0.496,376.2,6.0177,0.016,1.8812,0.5,0.022555
10,688.5,"8,912E+04",35.0,0.704,377.73,6.5167,0.017,1.8889,0.5,0.022647
11,694.8,"8,913E+04",35.0,1,379.31,6.6556,0.018,1.8968,0.5,0.022742
