Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,236E+04",30.0,0.03,132.4,4.5604,0.034,0.6649,0.502,0.0079718
2,357.9,"9,251E+04",30.0,0.0426,131.8,4.3036,0.033,0.66023,0.501,0.0079158
3,462,"9,261E+04",30.0,0.0605,131.93,4.49,0.034,0.66034,0.5,0.0079172
4,535.3,"9,268E+04",30.0,0.0859,132.29,4.5889,0.035,0.66195,0.5,0.0079364
5,586.9,"9,273E+04",30.0,0.122,132.74,4.6621,0.035,0.66415,0.5,0.0079629
6,623.2,"9,277E+04",30.0,0.173,133.44,4.7882,0.036,0.66766,0.5,0.0080049
7,648.8,"9,28E+04",30.0,0.246,134.19,4.8845,0.036,0.67142,0.5,0.00805
8,666.9,"9,281E+04",30.0,0.349,135.08,5.0565,0.037,0.67587,0.5,0.0081034
9,679.5,"9,283E+04",30.0,0.496,135.93,5.2102,0.038,0.68017,0.5,0.0081549
10,688.5,"9,284E+04",30.0,0.704,136.52,5.312,0.039,0.68311,0.5,0.0081902
11,694.8,"9,284E+04",30.0,1,137.9,5.6096,0.041,0.69008,0.5,0.0082737
