Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,293E+04",50.0,0.03,202.15,3.7643,0.019,1.0147,0.502,0.012166
2,357.9,"3,308E+04",50.0,0.0426,205.94,3.2852,0.016,1.0312,0.501,0.012363
3,462,"3,319E+04",50.0,0.0605,208.9,3.0564,0.015,1.0451,0.5,0.01253
4,535.3,"3,326E+04",50.0,0.0859,211.01,2.8474,0.013,1.0553,0.5,0.012652
5,586.9,"3,331E+04",50.0,0.122,212.61,2.7097,0.013,1.0632,0.5,0.012747
6,623.2,"3,335E+04",50.0,0.173,213.92,2.6675,0.012,1.0697,0.5,0.012825
7,648.8,"3,337E+04",50.0,0.246,214.95,2.6088,0.012,1.0748,0.5,0.012887
8,666.9,"3,339E+04",50.0,0.349,215.8,2.588,0.012,1.0791,0.5,0.012938
9,679.5,"3,34E+04",50.0,0.496,216.62,2.5949,0.012,1.0832,0.5,0.012987
10,688.5,"3,341E+04",50.0,0.704,217.2,2.6946,0.012,1.0861,0.5,0.013022
11,694.8,"3,342E+04",50.0,1,218.27,2.7839,0.013,1.0915,0.5,0.013086
