Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,922E+04",45.0,0.03,52.265,1.2696,0.024,0.26239,0.502,0.0031459
2,357.9,"2,937E+04",45.0,0.0426,53.299,1.1826,0.022,0.26692,0.501,0.0032002
3,462,"2,947E+04",45.0,0.0605,54.418,1.2612,0.023,0.27228,0.5,0.0032646
4,535.3,"2,955E+04",45.0,0.0859,55.173,1.2893,0.023,0.27598,0.5,0.0033088
5,586.9,"2,96E+04",45.0,0.122,55.847,1.3257,0.024,0.27932,0.5,0.003349
6,623.2,"2,963E+04",45.0,0.173,55.939,1.2604,0.023,0.27977,0.5,0.0033543
7,648.8,"2,966E+04",45.0,0.246,56.431,1.3234,0.023,0.28223,0.5,0.0033838
8,666.9,"2,968E+04",45.0,0.349,56.837,1.4144,0.025,0.28427,0.5,0.0034083
9,679.5,"2,969E+04",45.0,0.496,57.257,1.5534,0.027,0.28639,0.5,0.0034337
10,688.5,"2,97E+04",45.0,0.704,57.759,1.7216,0.030,0.28892,0.5,0.003464
11,694.8,"2,97E+04",45.0,1,58.516,1.9753,0.034,0.29275,0.5,0.0035099
