Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,408E+04",65.0,0.03,1189.5,22.119,0.019,5.9707,0.502,0.071586
2,357.9,"4,422E+04",65.0,0.0426,1196.1,19.504,0.016,5.9889,0.501,0.071804
3,462,"4,433E+04",65.0,0.0605,1201.6,18.263,0.015,6.0112,0.5,0.072072
4,535.3,"4,44E+04",65.0,0.0859,1207.4,17.042,0.014,6.0385,0.5,0.072399
5,586.9,"4,445E+04",65.0,0.122,1212.2,16.75,0.014,6.0617,0.5,0.072677
6,623.2,"4,449E+04",65.0,0.173,1216.9,16.727,0.014,6.0849,0.5,0.072956
7,648.8,"4,452E+04",65.0,0.246,1221.4,17.291,0.014,6.1078,0.5,0.073229
8,666.9,"4,453E+04",65.0,0.349,1225.7,17.471,0.014,6.1292,0.5,0.073487
9,679.5,"4,455E+04",65.0,0.496,1230.3,17.809,0.014,6.1521,0.5,0.07376
10,688.5,"4,455E+04",65.0,0.704,1231.8,17.584,0.014,6.1598,0.5,0.073854
11,694.8,"4,456E+04",65.0,1,1236.1,17.315,0.014,6.1812,0.5,0.074109
