Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,179E+04",35.0,0.03,1.4855,0.50985,0.343,0.0078823,0.502,9.4505e-05
2,357.9,"2,194E+04",35.0,0.0426,1.6071,0.59164,0.368,0.0085742,0.501,0.0001028
3,462,"2,204E+04",35.0,0.0605,1.6741,0.7132,0.426,0.0091026,0.5,0.00010914
4,535.3,"2,212E+04",35.0,0.0859,1.6636,0.91416,0.549,0.0094927,0.5,0.00011381
5,586.9,"2,217E+04",35.0,0.122,1.8558,0.99877,0.538,0.010538,0.5,0.00012635
6,623.2,"2,221E+04",35.0,0.173,2.0012,1.1712,0.585,0.011594,0.5,0.00013901
7,648.8,"2,223E+04",35.0,0.246,2.1919,1.4038,0.640,0.013015,0.5,0.00015604
8,666.9,"2,225E+04",35.0,0.349,2.3996,1.7031,0.710,0.014713,0.5,0.0001764
9,679.5,"2,226E+04",35.0,0.496,2.6873,2.0348,0.757,0.016854,0.5,0.00020207
10,688.5,"2,227E+04",35.0,0.704,3.0574,2.279,0.745,0.019067,0.5,0.0002286
11,694.8,"2,228E+04",35.0,1,3.827,2.7902,0.729,0.023681,0.5,0.00028392
