Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,6935,15.0,0.03,0.43997,0.47047,1.069,0.0032329,0.502,3.8761e-05
2,357.9,7083,15.0,0.0426,0.54666,0.56671,1.037,0.0039422,0.501,4.7265e-05
3,462,7187,15.0,0.0605,0.61657,0.70627,1.145,0.0046898,0.5,5.6228e-05
4,535.3,7261,15.0,0.0859,0.72973,0.92709,1.270,0.0059,0.5,7.0738e-05
5,586.9,7312,15.0,0.122,0.88247,1.1985,1.358,0.0074419,0.5,8.9224e-05
6,623.2,7349,15.0,0.173,1.0764,1.545,1.435,0.0094151,0.5,0.00011288
7,648.8,7374,15.0,0.246,1.3461,2.0216,1.502,0.012144,0.5,0.0001456
8,666.9,7392,15.0,0.349,1.6885,2.565,1.519,0.015354,0.5,0.00018409
9,679.5,7405,15.0,0.496,2.1263,3.217,1.513,0.019281,0.5,0.00023117
10,688.5,7414,15.0,0.704,2.9104,3.8118,1.310,0.023979,0.5,0.0002875
11,694.8,7420,15.0,1,3.9311,4.7564,1.210,0.030853,0.5,0.00036992
