Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,036E+04",60.0,0.03,772.38,13.749,0.018,3.8769,0.502,0.046482
2,357.9,"4,051E+04",60.0,0.0426,777.82,12.192,0.016,3.8947,0.501,0.046695
3,462,"4,061E+04",60.0,0.0605,783.52,11.619,0.015,3.9198,0.5,0.046996
4,535.3,"4,069E+04",60.0,0.0859,787.36,11.061,0.014,3.9377,0.5,0.047212
5,586.9,"4,074E+04",60.0,0.122,791.49,11.033,0.014,3.958,0.5,0.047455
6,623.2,"4,078E+04",60.0,0.173,794.98,10.883,0.014,3.9753,0.5,0.047662
7,648.8,"4,08E+04",60.0,0.246,798.56,10.593,0.013,3.9932,0.5,0.047877
8,666.9,"4,082E+04",60.0,0.349,801.51,10.201,0.013,4.0079,0.5,0.048053
9,679.5,"4,083E+04",60.0,0.496,804.13,9.5346,0.012,4.021,0.5,0.048209
10,688.5,"4,084E+04",60.0,0.704,805.63,9.542,0.012,4.0284,0.5,0.048299
11,694.8,"4,085E+04",60.0,1,808.19,8.9427,0.011,4.0412,0.5,0.048452
