Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,436E+04",25.0,0.03,0.50622,0.30934,0.611,0.0029775,0.502,3.5699e-05
2,357.9,"1,451E+04",25.0,0.0426,0.61873,0.44754,0.723,0.0038232,0.501,4.5838e-05
3,462,"1,462E+04",25.0,0.0605,0.58533,0.48266,0.825,0.003795,0.5,4.55e-05
4,535.3,"1,469E+04",25.0,0.0859,0.71016,0.61601,0.867,0.0047012,0.5,5.6365e-05
5,586.9,"1,474E+04",25.0,0.122,0.8254,0.8131,0.985,0.0057934,0.5,6.946e-05
6,623.2,"1,478E+04",25.0,0.173,0.92058,1.0351,1.124,0.0069262,0.5,8.3042e-05
7,648.8,"1,48E+04",25.0,0.246,1.0814,1.3622,1.260,0.0086962,0.5,0.00010426
8,666.9,"1,482E+04",25.0,0.349,1.2685,1.7373,1.370,0.010756,0.5,0.00012895
9,679.5,"1,483E+04",25.0,0.496,1.5592,2.183,1.400,0.013413,0.5,0.00016082
10,688.5,"1,484E+04",25.0,0.704,2.0292,2.565,1.264,0.016353,0.5,0.00019607
11,694.8,"1,485E+04",25.0,1,2.7873,3.2781,1.176,0.021515,0.5,0.00025795
