Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,15E+04",75.0,0.03,2071.5,49.673,0.024,10.398,0.502,0.12467
2,357.9,"5,165E+04",75.0,0.0426,2079.8,43.005,0.021,10.415,0.501,0.12487
3,462,"5,176E+04",75.0,0.0605,2089,39.463,0.019,10.452,0.5,0.12531
4,535.3,"5,183E+04",75.0,0.0859,2099.6,37.793,0.018,10.501,0.5,0.1259
5,586.9,"5,188E+04",75.0,0.122,2107.4,35.529,0.017,10.539,0.5,0.12636
6,623.2,"5,192E+04",75.0,0.173,2114.8,34.994,0.017,10.576,0.5,0.1268
7,648.8,"5,194E+04",75.0,0.246,2123,35.445,0.017,10.616,0.5,0.12729
8,666.9,"5,196E+04",75.0,0.349,2129.8,35.17,0.017,10.65,0.5,0.12769
9,679.5,"5,197E+04",75.0,0.496,2137.2,36.177,0.017,10.688,0.5,0.12814
10,688.5,"5,198E+04",75.0,0.704,2142,38.007,0.018,10.712,0.5,0.12843
11,694.8,"5,199E+04",75.0,1,2151,39.41,0.018,10.757,0.5,0.12897
