Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,551E+04",40.0,0.03,10.427,0.5593,0.054,0.05241,0.502,0.00062837
2,357.9,"2,565E+04",40.0,0.0426,10.702,0.74698,0.070,0.05371,0.501,0.00064396
3,462,"2,576E+04",40.0,0.0605,9.9682,0.78438,0.079,0.050017,0.5,0.00059968
4,535.3,"2,583E+04",40.0,0.0859,10.903,0.69196,0.063,0.054631,0.5,0.000655
5,586.9,"2,588E+04",40.0,0.122,11.276,0.83963,0.074,0.056538,0.5,0.00067787
6,623.2,"2,592E+04",40.0,0.173,11.594,1.0122,0.087,0.05819,0.5,0.00069768
7,648.8,"2,595E+04",40.0,0.246,11.889,1.2011,0.101,0.059747,0.5,0.00071633
8,666.9,"2,596E+04",40.0,0.349,12.251,1.4439,0.118,0.061679,0.5,0.00073951
9,679.5,"2,598E+04",40.0,0.496,12.597,1.7455,0.139,0.063589,0.5,0.00076241
10,688.5,"2,598E+04",40.0,0.704,13.296,2.0733,0.156,0.067286,0.5,0.00080672
11,694.8,"2,599E+04",40.0,1,14.046,2.4849,0.177,0.071321,0.5,0.00085511
