Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,808E+04",30.0,0.03,0.79465,0.30947,0.389,0.00428,0.502,5.1316e-05
2,357.9,"1,823E+04",30.0,0.0426,0.89926,0.41237,0.459,0.0049531,0.501,5.9386e-05
3,462,"1,833E+04",30.0,0.0605,0.98624,0.53818,0.546,0.0056201,0.5,6.7383e-05
4,535.3,"1,84E+04",30.0,0.0859,1.0539,0.67567,0.641,0.0062605,0.5,7.5061e-05
5,586.9,"1,845E+04",30.0,0.122,1.1036,0.83643,0.758,0.006924,0.5,8.3016e-05
6,623.2,"1,849E+04",30.0,0.173,1.098,1.0041,0.914,0.0074395,0.5,8.9197e-05
7,648.8,"1,852E+04",30.0,0.246,1.2142,1.2799,1.054,0.0088212,0.5,0.00010576
8,666.9,"1,853E+04",30.0,0.349,1.3862,1.5891,1.146,0.010544,0.5,0.00012642
9,679.5,"1,855E+04",30.0,0.496,1.6188,1.9847,1.226,0.012806,0.5,0.00015354
10,688.5,"1,856E+04",30.0,0.704,1.9575,2.2535,1.151,0.014925,0.5,0.00017894
11,694.8,"1,856E+04",30.0,1,2.6902,2.8553,1.061,0.019615,0.5,0.00023518
