Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,065E+04",20.0,0.03,0.34758,0.38287,1.102,0.0025953,0.502,3.1116e-05
2,357.9,"1,08E+04",20.0,0.0426,0.41281,0.44627,1.081,0.0030437,0.501,3.6492e-05
3,462,"1,09E+04",20.0,0.0605,0.48517,0.56149,1.157,0.003712,0.5,4.4505e-05
4,535.3,"1,098E+04",20.0,0.0859,0.57711,0.72361,1.254,0.0046285,0.5,5.5494e-05
5,586.9,"1,103E+04",20.0,0.122,0.69774,0.93563,1.341,0.005836,0.5,6.9971e-05
6,623.2,"1,106E+04",20.0,0.173,0.85092,1.2216,1.436,0.007444,0.5,8.925e-05
7,648.8,"1,109E+04",20.0,0.246,1.0629,1.5838,1.490,0.0095368,0.5,0.00011434
8,666.9,"1,111E+04",20.0,0.349,1.3331,2.0291,1.522,0.012139,0.5,0.00014554
9,679.5,"1,112E+04",20.0,0.496,1.7012,2.5975,1.527,0.015525,0.5,0.00018614
10,688.5,"1,113E+04",20.0,0.704,2.4237,3.1275,1.290,0.019783,0.5,0.00023719
11,694.8,"1,113E+04",20.0,1,3.3044,3.9519,1.196,0.025757,0.5,0.00030881
