Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,779E+04",70.0,0.03,4398.4,91.971,0.021,22.074,0.502,0.26465
2,357.9,"4,794E+04",70.0,0.0426,4417.5,80.81,0.018,22.119,0.501,0.26519
3,462,"4,804E+04",70.0,0.0605,4437.8,74.815,0.017,22.201,0.5,0.26618
4,535.3,"4,811E+04",70.0,0.0859,4456.2,70.682,0.016,22.287,0.5,0.26721
5,586.9,"4,817E+04",70.0,0.122,4473.1,67.484,0.015,22.369,0.5,0.26819
6,623.2,"4,82E+04",70.0,0.173,4491.6,66.867,0.015,22.461,0.5,0.2693
7,648.8,"4,823E+04",70.0,0.246,4507.3,66.288,0.015,22.539,0.5,0.27023
8,666.9,"4,825E+04",70.0,0.349,4524.2,66.402,0.015,22.623,0.5,0.27125
9,679.5,"4,826E+04",70.0,0.496,4541.4,66.944,0.015,22.71,0.5,0.27228
10,688.5,"4,827E+04",70.0,0.704,4562.6,70.068,0.015,22.816,0.5,0.27355
11,694.8,"4,827E+04",70.0,1,4580.1,68.643,0.015,22.903,0.5,0.2746
