Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,179E+04",35.0,0.03,20.321,3.9805,0.196,0.10393,0.502,0.0012461
2,357.9,"2,194E+04",35.0,0.0426,21.753,4.6592,0.214,0.11138,0.501,0.0013354
3,462,"2,204E+04",35.0,0.0605,23.195,5.4952,0.237,0.11924,0.5,0.0014296
4,535.3,"2,212E+04",35.0,0.0859,24.622,6.4709,0.263,0.12731,0.5,0.0015264
5,586.9,"2,217E+04",35.0,0.122,26.118,7.5673,0.290,0.13596,0.5,0.0016302
6,623.2,"2,22E+04",35.0,0.173,27.807,8.8123,0.317,0.14585,0.5,0.0017487
7,648.8,"2,223E+04",35.0,0.246,29.676,10.206,0.344,0.15691,0.5,0.0018813
8,666.9,"2,225E+04",35.0,0.349,31.822,11.821,0.371,0.16973,0.5,0.002035
9,679.5,"2,226E+04",35.0,0.496,34.317,13.604,0.396,0.18458,0.5,0.002213
10,688.5,"2,227E+04",35.0,0.704,36.348,14.877,0.409,0.19637,0.5,0.0023544
11,694.8,"2,228E+04",35.0,1,39.794,17.071,0.429,0.2165,0.5,0.0025958
