Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,6936,15.0,0.03,2.1128,3.1325,1.483,0.018964,0.502,0.00022737
2,357.9,7084,15.0,0.0426,2.5397,4.0193,1.583,0.023804,0.501,0.0002854
3,462,7188,15.0,0.0605,3.1309,5.1122,1.633,0.029987,0.5,0.00035953
4,535.3,7261,15.0,0.0859,3.9564,6.4612,1.633,0.037887,0.5,0.00045425
5,586.9,7313,15.0,0.122,5.0281,8.0617,1.603,0.047508,0.5,0.0005696
6,623.2,7349,15.0,0.173,6.4338,9.9515,1.547,0.059252,0.5,0.0007104
7,648.8,7375,15.0,0.246,8.2462,12.152,1.474,0.073427,0.5,0.00088036
8,666.9,7393,15.0,0.349,10.558,14.724,1.395,0.090594,0.5,0.0010862
9,679.5,7406,15.0,0.496,13.43,17.669,1.316,0.11097,0.5,0.0013304
10,688.5,7415,15.0,0.704,15.777,19.683,1.248,0.12613,0.5,0.0015122
11,694.8,7421,15.0,1,20.122,23.366,1.161,0.15418,0.5,0.0018486
