Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,436E+04",25.0,0.03,1.9484,2.4672,1.266,0.015778,0.502,0.00018918
2,357.9,"1,451E+04",25.0,0.0426,2.3037,3.1473,1.366,0.019527,0.501,0.00023412
3,462,"1,462E+04",25.0,0.0605,2.8011,3.9884,1.424,0.024379,0.5,0.0002923
4,535.3,"1,469E+04",25.0,0.0859,3.4358,5.0219,1.462,0.030428,0.5,0.00036482
5,586.9,"1,474E+04",25.0,0.122,4.2802,6.237,1.457,0.037824,0.5,0.00045349
6,623.2,"1,478E+04",25.0,0.173,5.3556,7.686,1.435,0.04684,0.5,0.00056159
7,648.8,"1,48E+04",25.0,0.246,6.7282,9.3792,1.394,0.057715,0.5,0.00069197
8,666.9,"1,482E+04",25.0,0.349,8.4707,11.37,1.342,0.070891,0.5,0.00084995
9,679.5,"1,483E+04",25.0,0.496,10.658,13.673,1.283,0.086684,0.5,0.0010393
10,688.5,"1,484E+04",25.0,0.704,12.516,15.271,1.220,0.098722,0.5,0.0011836
11,694.8,"1,485E+04",25.0,1,15.942,18.203,1.142,0.12098,0.5,0.0014505
