Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"2,922E+04",45.0,0.03,273.43,6.3535,0.023,1.3726,0.502,0.016457
2,357.9,"2,937E+04",45.0,0.0426,278.76,6.2824,0.023,1.396,0.501,0.016737
3,462,"2,947E+04",45.0,0.0605,283.01,5.9533,0.021,1.416,0.5,0.016977
4,535.3,"2,954E+04",45.0,0.0859,286.49,6.0258,0.021,1.433,0.5,0.017181
5,586.9,"2,96E+04",45.0,0.122,289.28,6.1341,0.021,1.4468,0.5,0.017346
6,623.2,"2,963E+04",45.0,0.173,291.66,6.4089,0.022,1.4587,0.5,0.017489
7,648.8,"2,966E+04",45.0,0.246,293.7,6.6331,0.023,1.4689,0.5,0.017611
8,666.9,"2,968E+04",45.0,0.349,295.61,6.9558,0.024,1.4785,0.5,0.017726
9,679.5,"2,969E+04",45.0,0.496,297.5,7.425,0.025,1.4879,0.5,0.01784
10,688.5,"2,97E+04",45.0,0.704,299.45,8.0245,0.027,1.4978,0.5,0.017958
11,694.8,"2,97E+04",45.0,1,301.69,8.738,0.029,1.5091,0.5,0.018093
