Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,065E+04",20.0,0.03,1.8324,2.6645,1.454,0.01623,0.502,0.00019459
2,357.9,"1,08E+04",20.0,0.0426,2.1853,3.4094,1.560,0.020275,0.501,0.00024309
3,462,"1,09E+04",20.0,0.0605,2.7133,4.3943,1.620,0.025834,0.5,0.00030974
4,535.3,"1,098E+04",20.0,0.0859,3.4105,5.5148,1.617,0.032426,0.5,0.00038877
5,586.9,"1,103E+04",20.0,0.122,4.3093,6.8968,1.600,0.040664,0.5,0.00048754
6,623.2,"1,106E+04",20.0,0.173,5.5045,8.5417,1.552,0.050809,0.5,0.00060918
7,648.8,"1,109E+04",20.0,0.246,7.0159,10.483,1.494,0.063069,0.5,0.00075617
8,666.9,"1,111E+04",20.0,0.349,8.9803,12.745,1.419,0.077956,0.5,0.00093466
9,679.5,"1,112E+04",20.0,0.496,11.465,15.336,1.338,0.095741,0.5,0.0011479
10,688.5,"1,113E+04",20.0,0.704,13.512,17.142,1.269,0.10913,0.5,0.0013085
11,694.8,"1,113E+04",20.0,1,17.326,20.45,1.180,0.13401,0.5,0.0016067
