Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"3,665E+04",55.0,0.03,1409.5,25.585,0.018,7.0749,0.502,0.084825
2,357.9,"3,679E+04",55.0,0.0426,1414.6,21.735,0.015,7.0832,0.501,0.084925
3,462,"3,69E+04",55.0,0.0605,1420.3,19.006,0.013,7.1054,0.5,0.08519
4,535.3,"3,697E+04",55.0,0.0859,1426.7,16.598,0.012,7.1349,0.5,0.085544
5,586.9,"3,702E+04",55.0,0.122,1431,14.98,0.010,7.1556,0.5,0.085792
6,623.2,"3,706E+04",55.0,0.173,1436.3,13.361,0.009,7.1818,0.5,0.086107
7,648.8,"3,709E+04",55.0,0.246,1439.8,12.289,0.009,7.1994,0.5,0.086317
8,666.9,"3,71E+04",55.0,0.349,1443.6,11.459,0.008,7.2184,0.5,0.086545
9,679.5,"3,712E+04",55.0,0.496,1447.1,10.924,0.008,7.2357,0.5,0.086752
10,688.5,"3,713E+04",55.0,0.704,1453,12.137,0.008,7.2652,0.5,0.087106
11,694.8,"3,713E+04",55.0,1,1456,11.905,0.008,7.28,0.5,0.087284
