Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,3222,10.0,0.03,2.5973,3.8117,1.468,0.023149,0.502,0.00027755
2,357.9,3370,10.0,0.0426,3.1269,4.861,1.555,0.028938,0.501,0.00034695
3,462,3474,10.0,0.0605,3.891,6.1745,1.587,0.036508,0.5,0.00043771
4,535.3,3547,10.0,0.0859,4.8912,7.7379,1.582,0.045777,0.5,0.00054885
5,586.9,3599,10.0,0.122,6.2039,9.5946,1.547,0.057131,0.5,0.00068497
6,623.2,3635,10.0,0.173,7.9155,11.773,1.487,0.070933,0.5,0.00085045
7,648.8,3661,10.0,0.246,10.115,14.328,1.417,0.087694,0.5,0.0010514
8,666.9,3679,10.0,0.349,12.843,17.241,1.342,0.10749,0.5,0.0012888
9,679.5,3691,10.0,0.496,16.285,20.572,1.263,0.13119,0.5,0.0015729
10,688.5,3700,10.0,0.704,19.032,22.853,1.201,0.1487,0.5,0.0017829
11,694.8,3707,10.0,1,24.126,26.986,1.119,0.18099,0.5,0.00217
