Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,808E+04",30.0,0.03,3.7119,2.9196,0.787,0.023702,0.502,0.00028417
2,357.9,"1,823E+04",30.0,0.0426,4.2487,3.6022,0.848,0.027888,0.501,0.00033437
3,462,"1,833E+04",30.0,0.0605,4.9693,4.4656,0.899,0.03342,0.5,0.00040069
4,535.3,"1,84E+04",30.0,0.0859,5.7809,5.4474,0.942,0.039721,0.5,0.00047624
5,586.9,"1,846E+04",30.0,0.122,6.8005,6.5958,0.970,0.047371,0.5,0.00056796
6,623.2,"1,849E+04",30.0,0.173,8.0261,7.9349,0.989,0.056432,0.5,0.0006766
7,648.8,"1,852E+04",30.0,0.246,9.535,9.5047,0.997,0.067316,0.5,0.00080708
8,666.9,"1,854E+04",30.0,0.349,11.368,11.303,0.994,0.080154,0.5,0.00096101
9,679.5,"1,855E+04",30.0,0.496,13.645,13.349,0.978,0.095442,0.5,0.0011443
10,688.5,"1,856E+04",30.0,0.704,15.516,14.77,0.952,0.10711,0.5,0.0012842
11,694.8,"1,856E+04",30.0,1,18.925,17.361,0.917,0.12841,0.5,0.0015396
