Temperature_H,Alpha_H,Tan_delta_H,V_H,Temperature_C,Alpha_C,Tan_delta_C,V_C
15.0,0.6546591288708705,1.6589835832959647,5.6976784384060934,15.0,0.6546646178560106,1.6590159357474021,5.781481277343025
20.0,0.6580400780498553,1.6790881629117456,4.577480151368894,20.0,0.5213224129272538,1.0693344959642574,6.16959636810783
25.0,0.6625345973517658,1.7063765231320749,3.873760565831088,25.0,0.3772588584475691,0.6733232048343446,7.179688604670283
30.0,0.6464823264175088,1.611792600166599,3.5899671051292645,30.0,0.02219564877561142,0.034878977178253494,76.1527425035286
35.0,0.495987662212831,0.9874736513573489,4.004507614784468,35.0,0.009235935660631384,0.014508791739586894,225.87707205055267
45.0,0.01566229350417714,0.024607237995311337,57.2082648418536,40.0,0.008496098102939813,0.013346432061911174,453.6409361911994
50.0,0.008383713184531209,0.013169867213574321,215.65603226937583,45.0,0.010028640017921222,0.01575425409252707,725.7691995441331
55.0,0.007182982768965606,0.011283481771881211,482.12201494149775,50.0,0.009354343732361787,0.014694826360772054,1016.2426505974802
60.0,0.00843598735305971,0.013251993616442992,805.8347466430788,55.0,0.008546705448558668,0.0134259401390581,1328.883637181242
65.0,0.009294440515030292,0.014600710418041334,1235.9216290535621,60.0,0.007750267243321262,0.012174692787747009,1647.4272918061022
70.0,0.010005070292801304,0.015717221687429422,1680.3517318263089,65.0,0.007579489713771939,0.011906397179580362,1953.8524799241884
75.0,0.011369669440469188,0.01786133404791565,2157.4264056348984,70.0,0.0077379417229107945,0.012155329040391436,2225.6445493790975
80.0,0.012275980952006361,0.019285456192793888,2679.7906096955817,75.0,0.008874860083085571,0.013941500762667562,2465.2397115565054
