Temperature,V,Concentration,Process
15.0,5.781481277343025,1.25,cooling
20.0,6.16959636810783,1.25,cooling
25.0,7.179688604670283,1.25,cooling
30.0,76.1527425035286,1.25,cooling
35.0,225.87707205055267,1.25,cooling
40.0,453.6409361911994,1.25,cooling
45.0,725.7691995441331,1.25,cooling
50.0,1016.2426505974802,1.25,cooling
55.0,1328.883637181242,1.25,cooling
60.0,1647.4272918061022,1.25,cooling
65.0,1953.8524799241884,1.25,cooling
70.0,2225.6445493790975,1.25,cooling
75.0,2465.2397115565054,1.25,cooling
