Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,122E+04",45.0,0.03,706.05,14.039,0.020,3.5441,0.502,0.042492
2,357.9,"8,137E+04",45.0,0.0426,704.14,12.982,0.018,3.5259,0.501,0.042274
3,462,"8,147E+04",45.0,0.0605,704.53,12.672,0.018,3.5248,0.5,0.04226
4,535.3,"8,155E+04",45.0,0.0859,706.68,12.745,0.018,3.5345,0.5,0.042377
5,586.9,"8,16E+04",45.0,0.122,710.21,13.38,0.019,3.5518,0.5,0.042585
6,623.2,"8,164E+04",45.0,0.173,711.57,12.224,0.017,3.5584,0.5,0.042664
7,648.8,"8,166E+04",45.0,0.246,713.61,11.656,0.016,3.5685,0.5,0.042785
8,666.9,"8,168E+04",45.0,0.349,715.63,10.755,0.015,3.5786,0.5,0.042906
9,679.5,"8,169E+04",45.0,0.496,717.69,9.8795,0.014,3.5888,0.5,0.043028
10,688.5,"8,17E+04",45.0,0.704,719.4,9.8271,0.014,3.5973,0.5,0.04313
11,694.8,"8,171E+04",45.0,1,721.53,9.0862,0.013,3.6079,0.5,0.043257
