Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,893E+04",75.0,0.03,2399.7,46.844,0.020,12.044,0.502,0.14441
2,357.9,"5,908E+04",75.0,0.0426,2400.5,41.228,0.017,12.02,0.501,0.14411
3,462,"5,919E+04",75.0,0.0605,2405.8,37.604,0.016,12.036,0.5,0.1443
4,535.3,"5,926E+04",75.0,0.0859,2411.6,35.547,0.015,12.061,0.5,0.1446
5,586.9,"5,931E+04",75.0,0.122,2417.6,33.92,0.014,12.09,0.5,0.14495
6,623.2,"5,935E+04",75.0,0.173,2422.7,31.705,0.013,12.115,0.5,0.14525
7,648.8,"5,937E+04",75.0,0.246,2429.3,30.488,0.013,12.148,0.5,0.14565
8,666.9,"5,939E+04",75.0,0.349,2436.3,30.599,0.013,12.183,0.5,0.14606
9,679.5,"5,94E+04",75.0,0.496,2443.3,30.478,0.012,12.217,0.5,0.14648
10,688.5,"5,941E+04",75.0,0.704,2450.1,33.196,0.014,12.252,0.5,0.14689
11,694.8,"5,942E+04",75.0,1,2457.2,33.975,0.014,12.287,0.5,0.14732
