Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,379E+04",55.0,0.03,1304.1,21.365,0.016,6.5456,0.502,0.078479
2,357.9,"7,394E+04",55.0,0.0426,1300.9,18.794,0.014,6.5136,0.501,0.078095
3,462,"7,404E+04",55.0,0.0605,1300,17.714,0.014,6.5034,0.5,0.077973
4,535.3,"7,412E+04",55.0,0.0859,1302,16.991,0.013,6.5117,0.5,0.078072
5,586.9,"7,417E+04",55.0,0.122,1303.4,16.944,0.013,6.518,0.5,0.078148
6,623.2,"7,421E+04",55.0,0.173,1305.7,16.634,0.013,6.529,0.5,0.07828
7,648.8,"7,423E+04",55.0,0.246,1308,16.913,0.013,6.5405,0.5,0.078418
8,666.9,"7,425E+04",55.0,0.349,1311.8,16.909,0.013,6.5598,0.5,0.078649
9,679.5,"7,426E+04",55.0,0.496,1315.6,17.073,0.013,6.5788,0.5,0.078877
10,688.5,"7,427E+04",55.0,0.704,1319.3,18.157,0.014,6.597,0.5,0.079095
11,694.8,"7,428E+04",55.0,1,1323.7,17.83,0.013,6.6189,0.5,0.079357
