Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,608E+04",25.0,0.03,12.596,1.1191,0.089,0.063465,0.502,0.00076091
2,357.9,"9,623E+04",25.0,0.0426,12.598,1.218,0.097,0.063366,0.501,0.00075973
3,462,"9,633E+04",25.0,0.0605,12.728,1.3666,0.107,0.064033,0.5,0.00076773
4,535.3,"9,641E+04",25.0,0.0859,12.895,1.5662,0.121,0.064958,0.5,0.00077882
5,586.9,"9,646E+04",25.0,0.122,13.113,1.7894,0.136,0.066178,0.5,0.00079344
6,623.2,"9,649E+04",25.0,0.173,13.4,2.055,0.153,0.067785,0.5,0.00081271
7,648.8,"9,652E+04",25.0,0.246,13.731,2.3673,0.172,0.069667,0.5,0.00083528
8,666.9,"9,654E+04",25.0,0.349,14.154,2.7397,0.194,0.072083,0.5,0.00086424
9,679.5,"9,655E+04",25.0,0.496,14.66,3.1609,0.216,0.074984,0.5,0.00089903
10,688.5,"9,656E+04",25.0,0.704,15.159,3.444,0.227,0.077724,0.5,0.00093188
11,694.8,"9,656E+04",25.0,1,16.194,4.0458,0.250,0.08346,0.5,0.0010006
