Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,865E+04",35.0,0.03,223.3,4.2206,0.019,1.1209,0.502,0.013439
2,357.9,"8,88E+04",35.0,0.0426,221.82,3.5917,0.016,1.1107,0.501,0.013317
3,462,"8,89E+04",35.0,0.0605,221.25,3.2386,0.015,1.1069,0.5,0.013271
4,535.3,"8,898E+04",35.0,0.0859,221.25,3.1372,0.014,1.1065,0.5,0.013266
5,586.9,"8,903E+04",35.0,0.122,221.18,3.0154,0.014,1.106,0.5,0.013261
6,623.2,"8,907E+04",35.0,0.173,221.22,2.9889,0.014,1.1062,0.5,0.013263
7,648.8,"8,909E+04",35.0,0.246,221.55,2.9205,0.013,1.1079,0.5,0.013283
8,666.9,"8,911E+04",35.0,0.349,221.99,3.0039,0.014,1.1101,0.5,0.013309
9,679.5,"8,912E+04",35.0,0.496,222.55,3.1216,0.014,1.1129,0.5,0.013343
10,688.5,"8,913E+04",35.0,0.704,223.35,3.4198,0.015,1.1169,0.5,0.013391
11,694.8,"8,914E+04",35.0,1,224.36,3.6279,0.016,1.1219,0.5,0.013452
