Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,265E+04",70.0,0.03,2179,37.366,0.017,10.937,0.502,0.13112
2,357.9,"6,28E+04",70.0,0.0426,2177.5,33.325,0.015,10.903,0.501,0.13072
3,462,"6,29E+04",70.0,0.0605,2178.3,30.872,0.014,10.897,0.5,0.13065
4,535.3,"6,297E+04",70.0,0.0859,2181.7,28.065,0.013,10.911,0.5,0.13081
5,586.9,"6,303E+04",70.0,0.122,2187.3,26.137,0.012,10.938,0.5,0.13114
6,623.2,"6,306E+04",70.0,0.173,2191.3,25.085,0.011,10.957,0.5,0.13137
7,648.8,"6,309E+04",70.0,0.246,2196.8,25.134,0.011,10.984,0.5,0.1317
8,666.9,"6,311E+04",70.0,0.349,2201.6,23.885,0.011,11.009,0.5,0.13199
9,679.5,"6,312E+04",70.0,0.496,2206.7,23.597,0.011,11.034,0.5,0.13229
10,688.5,"6,313E+04",70.0,0.704,2212.5,25.97,0.012,11.063,0.5,0.13264
11,694.8,"6,313E+04",70.0,1,2218,25.982,0.012,11.091,0.5,0.13297
