Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,237E+04",30.0,0.03,72.565,2.2833,0.031,0.36437,0.502,0.0043687
2,357.9,"9,251E+04",30.0,0.0426,72.183,2.2672,0.031,0.36157,0.501,0.0043351
3,462,"9,262E+04",30.0,0.0605,72.061,2.3226,0.032,0.36065,0.5,0.0043241
4,535.3,"9,269E+04",30.0,0.0859,72.271,2.3837,0.033,0.3616,0.5,0.0043354
5,586.9,"9,274E+04",30.0,0.122,72.719,2.5119,0.035,0.36383,0.5,0.0043621
6,623.2,"9,278E+04",30.0,0.173,73.067,2.5881,0.035,0.36557,0.5,0.004383
7,648.8,"9,281E+04",30.0,0.246,73.464,2.6578,0.036,0.36756,0.5,0.0044069
8,666.9,"9,282E+04",30.0,0.349,73.864,2.7273,0.037,0.36957,0.5,0.004431
9,679.5,"9,284E+04",30.0,0.496,74.317,2.8098,0.038,0.37185,0.5,0.0044583
10,688.5,"9,284E+04",30.0,0.704,74.562,2.8141,0.038,0.37307,0.5,0.004473
11,694.8,"9,285E+04",30.0,1,75.448,2.9777,0.039,0.37753,0.5,0.0045264
