Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,072E+05",10.0,0.03,1.1158,0.61912,0.555,0.0064042,0.502,7.6784e-05
2,357.9,"1,074E+05",10.0,0.0426,1.1286,0.73172,0.648,0.0067341,0.501,8.0739e-05
3,462,"1,075E+05",10.0,0.0605,1.2243,0.93244,0.762,0.0076982,0.5,9.2298e-05
4,535.3,"1,075E+05",10.0,0.0859,1.3165,1.1838,0.899,0.0088535,0.5,0.00010615
5,586.9,"1,076E+05",10.0,0.122,1.4615,1.5114,1.034,0.010513,0.5,0.00012604
6,623.2,"1,076E+05",10.0,0.173,1.6846,1.9444,1.154,0.012863,0.5,0.00015423
7,648.8,"1,077E+05",10.0,0.246,1.9624,2.4947,1.271,0.01587,0.5,0.00019028
8,666.9,"1,077E+05",10.0,0.349,2.3709,3.1511,1.329,0.019717,0.5,0.0002364
9,679.5,"1,077E+05",10.0,0.496,2.9187,3.9531,1.354,0.024569,0.5,0.00029458
10,688.5,"1,077E+05",10.0,0.704,3.7022,4.6097,1.245,0.029562,0.5,0.00035443
11,694.8,"1,077E+05",10.0,1,4.8541,5.7461,1.184,0.03761,0.5,0.00045092
