Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"9,98E+04",20.0,0.03,2.1106,0.74729,0.354,0.011237,0.502,0.00013473
2,357.9,"9,994E+04",20.0,0.0426,2.2172,0.97968,0.442,0.012136,0.501,0.00014551
3,462,1E+05,20.0,0.0605,2.1272,1.0238,0.481,0.011809,0.5,0.00014159
4,535.3,"1,001E+05",20.0,0.0859,2.2517,1.2574,0.558,0.012897,0.5,0.00015463
5,586.9,"1,002E+05",20.0,0.122,2.346,1.4882,0.634,0.013892,0.5,0.00016656
6,623.2,"1,002E+05",20.0,0.173,2.7361,1.7628,0.644,0.016274,0.5,0.00019512
7,648.8,"1,002E+05",20.0,0.246,3.0526,2.1755,0.713,0.018742,0.5,0.00022471
8,666.9,"1,003E+05",20.0,0.349,3.4653,2.6671,0.770,0.021864,0.5,0.00026214
9,679.5,"1,003E+05",20.0,0.496,3.9839,3.2775,0.823,0.025794,0.5,0.00030926
10,688.5,"1,003E+05",20.0,0.704,4.5414,3.6539,0.805,0.029144,0.5,0.00034942
11,694.8,"1,003E+05",20.0,1,5.6039,4.4079,0.787,0.035648,0.5,0.00042741
