Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"8,494E+04",40.0,0.03,443.15,10.087,0.023,2.2246,0.502,0.026672
2,357.9,"8,509E+04",40.0,0.0426,442.3,9.0708,0.021,2.2149,0.501,0.026556
3,462,"8,519E+04",40.0,0.0605,443.17,8.5193,0.019,2.2172,0.5,0.026583
4,535.3,"8,526E+04",40.0,0.0859,443.92,7.7409,0.017,2.2203,0.5,0.02662
5,586.9,"8,531E+04",40.0,0.122,444.8,7.0258,0.016,2.2244,0.5,0.026669
6,623.2,"8,535E+04",40.0,0.173,445.72,6.3376,0.014,2.2289,0.5,0.026723
7,648.8,"8,538E+04",40.0,0.246,446.66,5.7004,0.013,2.2335,0.5,0.026779
8,666.9,"8,539E+04",40.0,0.349,447.5,5.1436,0.011,2.2377,0.5,0.026829
9,679.5,"8,541E+04",40.0,0.496,448.44,4.7573,0.011,2.2423,0.5,0.026885
10,688.5,"8,542E+04",40.0,0.704,450,5.1841,0.012,2.2502,0.5,0.026978
11,694.8,"8,542E+04",40.0,1,451.27,5.0012,0.011,2.2565,0.5,0.027054
