Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"7,751E+04",50.0,0.03,994.62,16.59,0.017,4.9923,0.502,0.059855
2,357.9,"7,766E+04",50.0,0.0426,991.3,15.509,0.016,4.9636,0.501,0.059512
3,462,"7,776E+04",50.0,0.0605,990.17,14.555,0.015,4.9535,0.5,0.059391
4,535.3,"7,783E+04",50.0,0.0859,992.32,14.808,0.015,4.9629,0.5,0.059502
5,586.9,"7,788E+04",50.0,0.122,993.64,14.64,0.015,4.969,0.5,0.059575
6,623.2,"7,792E+04",50.0,0.173,996.33,14.587,0.015,4.9822,0.5,0.059735
7,648.8,"7,795E+04",50.0,0.246,999.46,14.603,0.015,4.9979,0.5,0.059922
8,666.9,"7,796E+04",50.0,0.349,1002.9,14.375,0.014,5.0152,0.5,0.06013
9,679.5,"7,798E+04",50.0,0.496,1006.5,13.954,0.014,5.0331,0.5,0.060345
10,688.5,"7,799E+04",50.0,0.704,1010.2,14.808,0.015,5.0517,0.5,0.060568
11,694.8,"7,799E+04",50.0,1,1013.7,14.067,0.014,5.069,0.5,0.060775
