Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"6,636E+04",65.0,0.03,1258.9,19.93,0.016,6.3184,0.502,0.075755
2,357.9,"6,651E+04",65.0,0.0426,1259.5,18.154,0.014,6.3062,0.501,0.075608
3,462,"6,662E+04",65.0,0.0605,1261.6,17.388,0.014,6.3111,0.5,0.075667
4,535.3,"6,669E+04",65.0,0.0859,1262.1,17.098,0.014,6.312,0.5,0.075678
5,586.9,"6,674E+04",65.0,0.122,1264.8,15.782,0.012,6.325,0.5,0.075833
6,623.2,"6,678E+04",65.0,0.173,1267.2,15.649,0.012,6.3364,0.5,0.075971
7,648.8,"6,68E+04",65.0,0.246,1268.4,14.916,0.012,6.3427,0.5,0.076046
8,666.9,"6,682E+04",65.0,0.349,1271,14.915,0.012,6.3552,0.5,0.076196
9,679.5,"6,683E+04",65.0,0.496,1273.6,14.997,0.012,6.3683,0.5,0.076353
10,688.5,"6,684E+04",65.0,0.704,1274.7,14.4,0.011,6.3739,0.5,0.07642
11,694.8,"6,685E+04",65.0,1,1278.2,14.445,0.011,6.3913,0.5,0.076629
