Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"5,893E+04",75.0,0.03,1575.4,31.766,0.020,7.9078,0.502,0.094811
2,357.9,"5,908E+04",75.0,0.0426,1574.7,28.394,0.018,7.8851,0.501,0.094539
3,462,"5,919E+04",75.0,0.0605,1579.8,27.275,0.017,7.9037,0.5,0.094762
4,535.3,"5,926E+04",75.0,0.0859,1583.5,25.951,0.016,7.9194,0.5,0.09495
5,586.9,"5,931E+04",75.0,0.122,1588.1,25.542,0.016,7.9416,0.5,0.095216
6,623.2,"5,935E+04",75.0,0.173,1592.8,25.409,0.016,7.965,0.5,0.095497
7,648.8,"5,937E+04",75.0,0.246,1597.9,25.71,0.016,7.9908,0.5,0.095806
8,666.9,"5,939E+04",75.0,0.349,1603.4,26.403,0.016,8.0181,0.5,0.096134
9,679.5,"5,94E+04",75.0,0.496,1609.7,27.315,0.017,8.0495,0.5,0.09651
10,688.5,"5,941E+04",75.0,0.704,1616.8,29.314,0.018,8.0852,0.5,0.096938
11,694.8,"5,942E+04",75.0,1,1623.6,29.897,0.018,8.1196,0.5,0.09735
